variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_457	2.06E-01	2.41E-05	1.53E-01	2.31E-01	1.61E-01	1.15E-01	
group_305	2.06E-01	7.61E-02	9.32E-01	6.91E-03	8.11E-02	6.88E-03	
group_61	2.06E-01	5.94E-01	1.07E-01	-2.29E-01	1.41E-01	1.30E-01	
group_2013	2.00E-01	3.18E-02	7.27E-01	-2.89E-02	8.28E-02	2.82E-02	
group_1572	2.00E-01	5.52E-04	8.88E-01	-1.86E-02	1.31E-01	1.14E-02	
group_1164	2.00E-01	5.52E-04	8.88E-01	-1.86E-02	1.31E-01	1.14E-02	
group_1044	2.00E-01	5.52E-04	7.41E-01	5.37E-02	1.62E-01	2.68E-02	
ssb_2~~~ssb_3~~~ssb_1	2.00E-01	5.52E-04	8.88E-01	-1.86E-02	1.31E-01	1.14E-02	
group_923	2.00E-01	3.18E-02	7.27E-01	-2.89E-02	8.28E-02	2.82E-02	
group_900	2.00E-01	5.52E-04	9.97E-01	-4.07E-04	1.12E-01	2.93E-04	
group_394	2.00E-01	5.52E-04	8.88E-01	-1.86E-02	1.31E-01	1.14E-02	
group_2072	1.94E-01	4.37E-01	7.43E-01	3.24E-02	9.86E-02	2.65E-02	
group_1568	1.94E-01	3.03E-04	4.98E-01	1.11E-01	1.63E-01	5.49E-02	
group_933	1.94E-01	4.37E-01	7.43E-01	3.24E-02	9.86E-02	2.65E-02	
group_827	1.94E-01	3.03E-04	4.98E-01	1.11E-01	1.63E-01	5.49E-02	
group_635	1.94E-01	7.63E-03	6.30E-01	-8.30E-02	1.72E-01	3.90E-02	
group_291	1.94E-01	2.81E-02	9.00E-01	-2.10E-02	1.68E-01	1.01E-02	
group_59	1.94E-01	4.37E-01	1.89E-01	-1.90E-01	1.44E-01	1.06E-01	
group_2185	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_2088	1.87E-01	6.70E-01	6.19E-02	-2.66E-01	1.41E-01	1.50E-01	
group_2005	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_1858	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_1818	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_1802	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_1798	1.87E-01	3.44E-03	9.79E-02	-1.42E-01	8.54E-02	1.33E-01	bad-chisq
group_1777	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_1767	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_1675	1.87E-01	1.58E-04	3.31E-01	1.59E-01	1.63E-01	7.86E-02	
group_1669	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_1280	1.87E-01	4.80E-03	3.37E-01	1.20E-01	1.24E-01	7.77E-02	
group_1265	1.87E-01	4.80E-03	8.85E-01	1.62E-02	1.11E-01	1.18E-02	
group_1204	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_1134	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_963	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
group_962	1.87E-01	1.92E-02	2.32E-02	-3.24E-01	1.41E-01	1.82E-01	
